"commodity","horizon","beta_pre","beta_post","beta_diff","nobs","nvalid","lower_diff90","lower_diff68","upper_diff68","upper_diff90","lower_pre90","lower_pre68","upper_pre68","upper_pre90","lower_post90","lower_post68","upper_post68","upper_post90"
"Copper",14,0.00984719488186942,-0.146273022503858,-0.156120217385728,275,500,-0.427194196090194,-0.283790486988279,0.0913588822690425,0.253620507260958,-0.294112823629513,-0.159060351298232,0.121364434813637,0.238960328899982,-0.351844466590864,-0.249334197844864,0.0244134392356118,0.124847040930894
"Copper",15,0.0544421921633996,-0.164392928684449,-0.218835120847848,275,500,-0.496350274224016,-0.366584223183796,0.0444802170667879,0.221385516046329,-0.282093559774902,-0.109824113869216,0.175221245504578,0.273575723206415,-0.365110737046303,-0.276857418590234,0.0143039111893742,0.121609999669788
"Copper",16,0.0180779499875231,-0.160850902080981,-0.178928852068504,275,500,-0.426097747268791,-0.300433351530189,0.111611042141809,0.309210263601711,-0.30688450847956,-0.155406717462125,0.119328912678617,0.220596939037829,-0.363822221180595,-0.267344376369333,0.045945379231346,0.181993669347476
"Copper",17,0.0360982944810207,-0.164004590600095,-0.200102885081115,275,500,-0.465559356519739,-0.338474194432325,0.110327196092634,0.290392613093612,-0.331462233088699,-0.159592804171087,0.139455802651555,0.222916944749256,-0.394661997623538,-0.288315269765157,0.0528263185924319,0.192973213992558
"Copper",18,0.0353480493944154,-0.193381882843481,-0.228729932237897,275,500,-0.516058862525412,-0.33293210991146,0.112180206993525,0.286622647357417,-0.309201942392896,-0.153356539273613,0.14056689261844,0.241346593532308,-0.409687588547149,-0.292399732130411,0.0480609949294469,0.192172496214947
"Copper",19,0.0105864922597867,-0.212158111036071,-0.222744603295857,275,500,-0.481984862223534,-0.320174149428343,0.160244941795947,0.338061790884487,-0.33721538952234,-0.195525305038759,0.106713253440104,0.201379034188514,-0.43919307038569,-0.324514751234546,0.052026817073054,0.221031701805893
"Copper",20,0.0410609967371672,-0.260121780576814,-0.301182777313981,275,500,-0.583401471783667,-0.400691271702564,0.0785797614236621,0.27872379301642,-0.33077036751239,-0.173873990606812,0.135564873354738,0.238295660279324,-0.49441568613174,-0.390656078043076,0.020775687239698,0.16136911989654
"Copper",21,-0.023433189179784,-0.214358863765485,-0.190925674585701,275,500,-0.497550292042824,-0.314472823945277,0.214148964711049,0.383889640524477,-0.403798134952141,-0.223939768003112,0.0808934509715781,0.174711973300744,-0.486733860899938,-0.352184350912116,0.0769326064208522,0.234811667297089
"Copper",22,-0.0393306498410357,-0.313469870161002,-0.274139220319966,275,500,-0.586370057982287,-0.394889308496374,0.116264383024915,0.312705398367319,-0.445489184950747,-0.267602307109344,0.0566539739529256,0.147512675560312,-0.627339409728529,-0.475734297490416,-0.0321479815008769,0.112035962154148
"Copper",23,-0.0161110556001462,-0.418297884906263,-0.402186829306117,275,500,-0.749167897585302,-0.531662797223927,0.0129181496279405,0.234183614216167,-0.443528247912808,-0.278209851593328,0.0932109114828368,0.175668285768382,-0.717622832916142,-0.571824503843057,-0.137850790837104,0.0113923445385965
