"commodity","horizon","beta_pre","beta_post","beta_diff","n_pre","n_post","nvalid","lower_diff90","lower_diff68","upper_diff68","upper_diff90","lower_pre90","lower_pre68","upper_pre68","upper_pre90","lower_post90","lower_post68","upper_post68","upper_post90"
"Copper",16,0.407831962570059,-0.188681526961411,-0.59651348953147,115,176,500,-1.82481677751796,-1.40816011555368,0.37640511212604,0.946600140771283,-1.01724909778198,-0.448658780811367,1.15758576754183,1.65236902344836,-0.675225812989187,-0.411612267554049,0.156798866055538,0.38731093808077
"Copper",17,0.595678142266459,-0.212655092701359,-0.808333234967818,115,175,500,-2.12001515528372,-1.66749421473328,0.25154109438872,0.995417583664052,-1.14461558384012,-0.320396950586769,1.40638110466433,1.88474476811499,-0.763765252812479,-0.482444692391351,0.170298944220578,0.401730712168719
"Copper",18,0.67463053235709,-0.270439567156742,-0.945070099513832,115,174,500,-2.29974298676776,-1.8380277711828,0.131271973898644,0.901101402478473,-1.06353592708734,-0.237769833196283,1.50901354647728,2.04463678983885,-0.769143994680896,-0.534079263846927,0.147391881571066,0.405367989430545
"Copper",19,0.43363826592077,-0.366497416251232,-0.800135682172002,115,173,500,-2.23052630464375,-1.72662107830366,0.248774154202741,1.12095421415787,-1.32260053859701,-0.464674697193731,1.32222415620702,1.84158862730795,-0.940659845468035,-0.661733243639771,0.0548406829239715,0.32483294791039
"Copper",20,0.559718395456995,-0.409924874937096,-0.969643270394091,115,172,500,-2.42029320437153,-1.89824073259232,0.220125394579268,1.15279402576047,-1.42950654253979,-0.498728592031179,1.49330626406743,1.98866608502684,-0.978856719111784,-0.699569145082428,0.046705388268281,0.272684065516525
"Copper",21,0.320370638009181,-0.323589901234854,-0.643960539244035,115,171,500,-2.16114066993438,-1.53569982224789,0.550204725195869,1.42858750839816,-1.6139060890333,-0.644290405072862,1.25653596573157,1.88006715071702,-0.927059201138985,-0.63811172549853,0.196530366711968,0.477259241863628
"Copper",22,0.112465249955743,-0.442002324504921,-0.554467574460664,115,170,500,-2.05788838863185,-1.51858316949916,0.673425205085034,1.60213482736142,-1.9326099768601,-0.958634615701237,1.04963532168195,1.5678393398404,-1.04777716367269,-0.768764555672719,0.0219609308029957,0.362957746295688
"Copper",23,0.400413263409352,-0.606811844980202,-1.00722510838955,115,169,500,-2.4622082442123,-1.94376937427602,0.263796958502754,1.33168824020784,-1.77879443927031,-0.729462339571572,1.324195372775,1.86062552641266,-1.19819495006062,-0.918404644906305,-0.131149813490927,0.182565495939093
"Copper",24,0.558047583474543,-0.622822848353703,-1.18087043182825,115,168,500,-2.69732216434471,-2.09594636937688,0.116185543498497,1.12381241185045,-1.46471450905347,-0.558271255131781,1.5286589115501,2.04856366420213,-1.17394584803155,-0.940815302128496,-0.128819868414069,0.239743538764763
"Gold",0,0.0390613587139053,-0.127827836995479,-0.166889195709384,115,190,500,-0.369394724043258,-0.297649801538821,-0.0909074424224897,-0.0154823996052807,-0.0753454295325776,-0.0339684273187727,0.13732812838338,0.204809215655569,-0.236420651934956,-0.197579108573515,-0.0835091898176347,-0.0556119587255267
"Gold",1,0.0651221617299031,-0.0337679930165587,-0.0988901547464618,115,190,500,-0.32769379526765,-0.211790425396636,0.0355114972747061,0.113157978931157,-0.102140627782954,-0.0301952645212301,0.172550490684078,0.254600331450328,-0.146891861502593,-0.0988961050835256,0.0431757912757949,0.0828510321880907
"Gold",2,0.0619227520735331,0.079710807512903,0.0177880554393699,115,190,500,-0.218663085658369,-0.113411496457031,0.191311901315139,0.269517298859572,-0.140568381157906,-0.0561996357649305,0.165428247590538,0.25523602642606,-0.0702552186951373,-0.0081757154074688,0.195019098205455,0.247439441408817
"Gold",3,0.0356346382996932,0.0755627781098431,0.0399281398101498,115,189,500,-0.182122552255987,-0.080900269171809,0.245802414291009,0.361135409603993,-0.219396834722342,-0.0981747566875723,0.137278963368765,0.200448469458795,-0.0977713960194287,-0.0244114595978749,0.216368960613061,0.280725027268636
"Gold",4,0.0118209858925082,0.099431586366138,0.0876106004736298,115,188,500,-0.223706491608658,-0.0890909259977973,0.29690331014589,0.434373982641495,-0.190587204380919,-0.101249307588289,0.14634889248041,0.284469204125744,-0.0899474723448636,-0.00938416510433446,0.273565287948967,0.354570002419024
"Gold",5,-0.187957930946286,-0.00657035329321805,0.181387577653068,115,187,500,-0.116157928084238,-0.00765252392644163,0.400440681174181,0.526980149114846,-0.384361975993799,-0.304663029729784,-0.054899505991524,0.0332172127240334,-0.215584932396421,-0.127754628545227,0.180763177437811,0.250399952967124
"Gold",6,-0.0614950232992282,-0.0945153431256744,-0.0330203198264462,115,186,500,-0.363505328948274,-0.224867171575063,0.218536153296787,0.37315723008806,-0.342608267435945,-0.223434642627752,0.0613136849663006,0.142858188459402,-0.361374688229529,-0.245162124936618,0.0831112951031911,0.159419189864701
"Gold",7,0.103641791042934,-0.181383280086229,-0.285025071129164,115,185,500,-0.629717779793321,-0.49671422859525,-0.0306523204141613,0.126821658525564,-0.157202333922982,-0.0525955496695817,0.228592429300785,0.320126841714717,-0.469509711289758,-0.352641197538033,0.00720008136965708,0.0922866602465437
"Gold",8,0.0465440210132756,-0.161971107616174,-0.20851512862945,115,184,500,-0.597505072243388,-0.446399345248952,0.0705671205315688,0.236507189170063,-0.244797274598961,-0.118808707645505,0.176307030972312,0.285574808711967,-0.49119344501552,-0.363100959618328,0.039549827802618,0.148901525714974
"Gold",9,0.0626054716233894,-0.149914518739483,-0.212519990362872,115,183,500,-0.651242878676218,-0.50447855284022,0.0788323546741454,0.280411709072696,-0.22887575377456,-0.112639842132982,0.219004541882197,0.341689095698622,-0.523004681297503,-0.368535584233196,0.0852089293643697,0.203818617595444
"Gold",10,-0.0867918416752242,-0.103490342990973,-0.0166985013157485,115,182,500,-0.557310512232035,-0.323964126414791,0.301406440419884,0.518983862904627,-0.409883706413698,-0.296059881444865,0.103896461179459,0.244102059652584,-0.483621216630218,-0.358968594252565,0.116881637062113,0.257657784178423
"Gold",11,-0.139413527158766,-0.0670383521240713,0.0723751750346944,115,181,500,-0.49747011634688,-0.319972530961986,0.390212615856664,0.575931387273541,-0.468297008608458,-0.354699836929327,0.102098184436771,0.25192968091834,-0.488504369888411,-0.344270812304719,0.157640218656517,0.274609147881773
"Gold",12,-0.262839774521366,-0.0623629238824126,0.200476850638954,115,180,500,-0.414084891763682,-0.212532507814115,0.537914207742621,0.754674391870121,-0.613187148629875,-0.478601239676715,-0.0395880294914069,0.125078810337745,-0.54811747299442,-0.355188939148011,0.191454966506404,0.315417260361848
"Gold",13,-0.34867455104584,-0.263251942364803,0.0854226086810371,115,179,500,-0.595105436306867,-0.336573752543086,0.398595791989804,0.64903731828247,-0.747727163033881,-0.576187436930643,-0.0863032228469765,0.0885806752265412,-0.805357996892927,-0.592270109057524,-0.00942987796005909,0.137523140702801
"Gold",14,-0.234597164816502,-0.281175177903418,-0.0465780130869157,115,178,500,-0.802966000515926,-0.483966918957928,0.28737308269655,0.539073946491572,-0.635971829979684,-0.476042115746758,0.0345983547572734,0.24786456721906,-0.82757639864309,-0.621195986169759,-0.0155947590092158,0.143631507497175
"Gold",15,-0.160751808529514,-0.234552878973248,-0.0738010704437342,115,177,500,-0.800630156614811,-0.531246494637269,0.298040394537658,0.536125366168886,-0.644585420167855,-0.438894046156837,0.0842832694309027,0.277450727868688,-0.843055196688565,-0.609369759899052,0.0422931644738821,0.212090761767672
"Gold",16,-0.232299970430733,-0.241518880838343,-0.00921891040761044,115,176,500,-0.672808435181876,-0.489882101524346,0.414628915375082,0.726479062419102,-0.768854434787252,-0.563342779615487,0.0494233547040382,0.208851618379391,-0.80655328569212,-0.602577229896034,0.0372760324276058,0.230429301236571
"Gold",17,-0.0941051430650907,-0.309941031359735,-0.215835888294644,115,175,500,-0.969414174412834,-0.696529225707788,0.20213695777305,0.519808232700101,-0.631886139110717,-0.428284852708723,0.184228787003338,0.396783730410721,-0.85704547400172,-0.680091533153419,-0.0409348797050182,0.188009488090901
"Gold",18,0.0113880643843897,-0.293139851839584,-0.304527916223974,115,174,500,-1.09943189922467,-0.825269539236881,0.0894704834296222,0.448698335632316,-0.52674496095151,-0.308670542452163,0.314242634137117,0.550445718421251,-0.915367437954674,-0.682319461640469,-0.0198879189676881,0.227194678265749
"Gold",19,-0.0817064183579105,-0.293202418205125,-0.211495999847214,115,173,500,-1.04050665688206,-0.760933430497632,0.168097526074702,0.536432861615923,-0.629441400064404,-0.387982968053765,0.217958896593224,0.436932859146329,-0.959271694052422,-0.722099850366031,-0.024852492058899,0.189172430009831
"Gold",20,-0.200968940733294,-0.285883345704264,-0.0849144049709707,115,172,500,-0.990397846399739,-0.674604982852921,0.358542044230445,0.68343447438866,-0.783634454233543,-0.519535523525716,0.16970189551214,0.456144158526994,-0.912972828223365,-0.67258025867446,0.0418735313279848,0.257348396835256
"Gold",21,-0.191564917297084,-0.30829543582057,-0.116730518523485,115,171,500,-1.05399677927152,-0.714308571563945,0.34059349722841,0.72259552237108,-0.782966019332293,-0.533868989001623,0.194605854513903,0.502194178744585,-0.981306513221229,-0.736727585058193,0.0203902532770147,0.269838602777426
